"","Live","PTT","蘋果","中時","中央社","東森","自由","新頭殼","NowNews","聯合","TVBS","中廣","台視","華視","民視"
"突破點",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"紀念堂",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"紀念館",0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
"紀實",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"紅塵",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"美方",0,3,3,0,14,5,0,0,0,9,0,0,0,3,0
"美編",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"背影",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"英文版",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"英雄主義",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"要圖",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"訂單",0,3,15,8,0,10,23,0,4,9,10,0,0,0,9
"計算機",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"軍營",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"重罪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"陋習",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"限制性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"面人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"面貌",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"風頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"食客",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"首腦",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"首輪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"香檳",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"倉庫",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"剛性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"剝削者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"原名",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"原料",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"原意",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"家世",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"家具",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"家務事",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"恩怨",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"挫折",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"時限",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"時差",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"書生",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"氣息",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"浣熊",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"浪潮",0,3,3,11,0,0,0,0,0,0,0,0,0,0,0
"浮雲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"海軍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"消費者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"烏雲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"烤鴨",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"特別法",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"症候",0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
"真名",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"神殿",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"租稅",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"笑臉",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"紙牌",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"胸口",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"胸部",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"記錄器",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"財務",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"財產權",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"起點",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"酒釀",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"閃光",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"院方",0,3,0,0,0,0,0,0,0,0,0,0,5,0,0
"高一",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"高人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"高低",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"高姿態",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"高速公路",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"鬥志",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"做功",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"停車費",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"健身房",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"偽政權",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"偽證",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"副總",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"區別",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"參加者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"參議員",0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"商家",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"國政",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"國賊",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"國運",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"國殤",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"基石",0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"基金",0,3,6,5,0,0,3,0,0,5,0,0,0,5,0
"基督徒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"婆婆",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"婦人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"專人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"專利",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"專機",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"專輯",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"強人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"得分",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"情操",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"控制力",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"控制權",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"救濟",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"教派",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"教徒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"教務長",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"教練",0,3,0,0,0,0,0,0,0,0,6,0,0,0,0
"旋律",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"殺人罪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"殺氣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"淨值",0,3,5,0,3,0,0,0,0,0,0,0,0,0,0
"深度",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"深淵",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"球員",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"理工科",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"理科",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"產量",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"異地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"眼科",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"票房",0,3,0,0,0,0,0,0,0,0,8,0,0,0,0
"符合條件者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"符號",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"終點",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"統帥",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"羞恥心",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"船長",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"船員",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"蛋蛋",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"術語",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"貨色",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"貨櫃",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"責任感",0,3,3,0,0,0,3,0,0,0,0,0,0,0,0
"魚翅",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"喊聲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"單方",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"惡果",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"提要",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"景象",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"景點",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"晴天",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"智力",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"智囊團",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"朝政",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"期刊",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"棋局",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"棋盤",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"港幣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"游擊戰",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"渾身",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"番茄",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"畫質",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"發動機",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"短褲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"稅收",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"稅制",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"稅法",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"答數",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"紫色",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"結語",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"脾氣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"詞句",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"象棋",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"貴賓",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"超額利潤",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"軸線",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"郵件",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"郵局",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"開銷",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"間諜",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"集散地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"集會",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"黃牛",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"黑白",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"黑車",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"黑暗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"傳奇",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"傳真",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"傳教士",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"傳票",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"傻瓜",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"匯率",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"意向",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"感觸",0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
"搭檔",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"新村",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"概略",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"溫飽",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"煞車",0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"煞氣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"爺們",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"督察",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"禽獸",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"節操",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"經常性",0,3,0,0,0,3,0,0,0,0,0,0,0,4,0
"義勇軍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"腦細胞",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"腳踏車",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"落花",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"衙門",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"資質",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"路面",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"載體",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"過錯",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"道人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"道義",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"違者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"零售業",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"零頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"電子版",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"電子學",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"電纜",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"僑胞",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"圖說",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"塵埃",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"壽命",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"實戰",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"實驗室",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"摘要",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"旗桿",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"榜樣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"榮譽",0,3,4,0,0,0,3,0,0,0,0,0,0,0,0
"滷肉",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"漢奸",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"漫畫",0,3,3,0,0,0,8,0,0,0,0,0,0,0,0
"瘋狗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"監督權",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"福氣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"算法",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"精品",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"精蟲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"綜合性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"綜藝",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"綠茶",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"網羅",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"緊迫性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"臺階",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"臺幣",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"語句",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"語調",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"說客",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"辣椒粉",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"遙控器",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"領頭人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"僵屍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"儀器",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"劇院",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"廟會",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"廠房",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"毅力",0,3,0,0,0,0,4,0,0,0,0,0,0,0,0
"潛力",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"潛艇",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"熱忱",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"獎賞",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"獠牙",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"箱底",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"篇幅",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"緣由",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"膠帶",0,3,0,3,3,0,0,0,0,0,0,0,0,0,0
"衛兵",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"請求",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"諸君",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"豬排",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"賠款",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"賭徒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"賭場",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"輩分",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"養老院",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"麾下",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"齒輪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"壁壘",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"學界",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"學員",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"學問",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"學識",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"導彈",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"導數",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"戰局",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"戰事",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"擂台",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"操作員",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"整數",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"歷史課",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"燒肉",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"獨立國家",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"糕餅",0,3,0,0,0,0,0,0,6,0,0,0,0,0,0
"親信",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"辦事處",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"鴛鴦",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"鴨子",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"龍頭",0,3,6,3,0,0,0,0,0,0,0,0,0,0,0
"檔案櫃",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"檢討會",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"營地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"縮影",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"總局",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"總裁",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"總量",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"臉孔",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"臉頰",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"醜聞",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"擴音器",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"櫃檯",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"殯儀館",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"獵豹",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"謬論",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"醬油",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"雙子",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"雞尾酒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"額頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"壞東西",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"簽名",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"藝術節",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"藥房",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"藥師",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"證券業",0,3,4,0,0,0,0,0,0,0,0,0,0,3,0
"證書",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"競技場",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"警署",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"櫻桃",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"犧牲品",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"蠢人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"辯護人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"鐵棒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"鐵飯碗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"露天",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"霸王",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"攤販",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"權謀",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"聽眾",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"鑰匙",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"券商",0,0,18,0,0,0,3,0,0,4,0,0,0,0,0
"搖錢樹",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"班級",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"刀傷",0,0,10,0,3,6,0,0,0,0,3,0,0,0,0
"煉獄",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"衛視",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"資料庫",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"歌聲",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"總工會",0,0,7,9,0,0,7,0,0,0,0,0,0,0,0
"丈夫",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"工地",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"來稿",0,0,6,0,0,5,0,0,0,0,0,0,0,0,0
"專案組",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"號外",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"稿酬",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"證券",0,0,6,12,0,0,3,0,0,6,0,0,0,0,0
"工程學",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"全院",0,0,5,0,0,0,0,0,3,7,0,0,0,0,0
"伯斯",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"男方",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"事故",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"室主任",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"背部",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"起源",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"副刊",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"插畫",0,0,5,0,0,0,7,0,0,0,0,0,0,0,0
"評論員",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"經營權",0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
"腹部",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"遺孀",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"願望",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"人道",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"上將",0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
"心肝",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"民運",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"刑期",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"來客",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"軌道",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"面孔",0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
"首席",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"氣喘",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"院中",0,0,4,0,0,0,3,0,0,0,0,0,0,0,4
"理事",0,0,4,0,0,0,4,0,0,3,0,0,0,0,0
"華府",0,0,4,3,0,0,3,0,0,0,0,0,0,0,0
"鼻血",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"廣泛性",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"樣本",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"邀請函",0,0,4,0,0,0,6,3,0,0,0,0,0,0,0
"關鍵性",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"口角",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"大字",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"大禮堂",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
"分隊",0,0,3,3,0,0,0,0,0,3,0,0,0,0,0
"手心",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"牛角",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"主人翁",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"主控",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"生命線",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"皮夾",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"刑事訴訟法",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"名言",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"名校",0,0,3,0,0,0,0,0,0,4,0,0,0,0,0
"安全帶",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"耳語",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"血壓",0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"余輝",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"秀才",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"言行",0,0,3,0,0,0,0,0,0,4,0,0,0,0,0
"屈辱",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"歧異",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
"社交",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"股權",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
